customer_id,customer_name,review_head,review_body,review_date,ratings
customer_review-RW8ZH5UPIPGTE,Kalyan M.,Good for overall performance,beginners camera perhaps best one lot learned quickly nevigating guided menu however moonshot first snap fron canon eos 200d mark ii,12-06-2019,4
customer_review-R1T9R2BI0Z30ER,Vandana bhargava,Awesome But Price too high,good camera price amazon high,01-06-2019,5
customer_review-R10DWB8R6CHYVE,Malaya kumar pradhan,canon 200d ii,awesome product,11-06-2019,5
customer_review-RB1NF55P3C4C,Aravind,Brilliant Digic 8,topnotch image processor digic8 perhaps selling point product best beginners autofocus improves much live view mode image cropped without losing quality 4k useless mode gives u eye focus video shooting,25-08-2019,5
customer_review-R1O4N4T85W18D8,Akshay,Mind blowing product by Canon,confused canon m50 200d mark 2 ended reading reviews scroll click buy,24-08-2019,5
customer_review-R101X7IPE6W71Z,abhishek anand,"Super Camera for Beginners, comes with some Pro features",bought upcoming ladakh trip lucky get price 49999 thanks amazon pro tip get 50 mm 18f canon prime lens best potrait shots,07-07-2019,5
customer_review-R2KUVMIIDGGFHU,Bhavi,Perfect entry level camera with 4K video & dual pixel autofocus,1 amazon delivered 1 day price really steal 2 camera easy use perfect choice beginners 3 guide mode lcd screen helps make informed decision settings use affects photo 4 bad canon selling white body camera available outside india 5 get 16 gb sd card canon camera bag good quality 6 im beginner using dslr see photos could take camera,04-10-2019,5
customer_review-R20NQ9VC1NDGRH,Amazon Customer,Canon EOS 200D II 24.1MP Digital SLR Camera + EF-S 18-55mm f4 is STM Lens (Black),beyond digic 8 hype dual pixel cam touch screen lcd pics great galaxy s9 plus shot better pics atleast camera cant returned replaced case flaw 1855mm lens sucks maybe 50mm stm prime lens way better flash manual lift automatic pop big drawback hot shoe universal pin buy expensive canon flash big big flaw wouldnt recommend big bucks sold olx loss,15-11-2019,2
customer_review-R3LHQ5GOUPUJ5G,Santosh Panigrahi,Good Phone for beginners,good camera beginners budget buy prime lens camera beast new model get features camera eg mic touch screen 360 screen rotation wifi bluetooth etc,21-09-2019,4
customer_review-R6YFLTHU15G7U,Nair Sahab Jr,Just go for it. 👍,got camera effective price 53699 absolutely great deal features offers image quality excellent battery life 1000 shots easy understand like using smartphone camera variable angle touchscreen wow feature dslr know picture quality follow instagram nairsahabsnaps,13-10-2019,5
