,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-R196A151657A2A,RD,Major Frustration!!,laptop looks great design pretty simple slick extremely light weight therefore highly portable however battery life terrible goes 2530 half webbrowsing youtubenetflix content viewing also screen quite lacklustre seems bit dim even room highly lit biggest deal breaker slow speed launching apps opening sites often takes minute opening word exel files picture files take well minute causing major frustration similar slowness observed even saving changes already placed return request updating feedback given poor performance product wanted return buy another one higher specs turns amazon offers replacement scenario return stuck dud dont want thanks amazing nonreturnable policy frsutrated updating review calls custcare finally settled replacement product based report turned tech assessment personnel would ideally liked returned option go replacement told replacement initiated pickup product scheduled till date update fact purchase well beyond return replacement period probably thats wanted queries entertained anymore reason expiry return period terribly cheap tactic didnt expect amazon,2018-10-21,1.0
1,customer_review-R3GC6L4SN9IMDY,Abraham JOSEPH,WOW WHAT A DESIGN !! IS IT WORTH?,hey everyone honest really impressed laptop especially price point selling couldnt resist uploading review amazon goes note time reviewing price tag stands 20k also dont like amd get i3 laptop price amznto2mgceo0 slightly better comes performance pros 1windows 10 os preinstalled microsoft office great use 2no heating issues heavy fan sounds far 3 amd a69225 4gb ram enough daily productivity programming etc want compare 6th gen i3 would come close 4build quality suprosingly good overall design stellar 5the touchpad good per expectation keyboard 6extremely lightweight thats best thing laptop 7ports optical drive 1 hdmi 2 usb 30 usb 20 4in1 card reader sdsdhcsdxcmmccombo audio microphone jack optical drive cons 1battery life per given 6 hours hardly 4 5 hours 2not full hd display might expect enough media consumption daily productivity coding etc also antiglare feature plus point time qa 1 amd worth totally yes use tons laptops amd chipset issues techy know amd a69225 xop instructions enabled extensions broadly used applications yet improve future programs 2 use gaming surely made gaming play old games like cod mw vice city etc low graphics settings 3 microsoft office comes preloaded microsoft office 2019 lifetime license cool 4 run photoshop well wont perform good 5 ram expandable yes upgrade ram upto 8gb yes future require memory go ahead stick another ram module overall go laptop looking cheap laptop might fulfil office college needs also battery life somewhere around 4 5 hours though recommend heavy gaming,2019-07-13,5.0
2,customer_review-R1NPP0SAEQT59S,Sridhar,Mobility with power,recently purchased rs 2000 less offer price 22000 nice start cortona installing windows setup system ready disposal battery comes 3 hours charges assured 15 mins comes performance decent performance slag good audio nice hd display worth carry,2018-09-22,5.0
3,customer_review-R2JL2LQ814ZHXO,Shakeel ahmed s,Best laptop in this price tag,part time ui designer digital art tools design hence use laptop digital art use ps alternative laptop add texts final image negligible lag importingexporting large image file apart use ms office works perfectly fine play games laptop sleek light weight performance better laptops price tag,2018-10-01,5.0
4,customer_review-R1EE6M23SRHI33,ritheesh rits,Dont buy,worst laptop ever seen even 1 gb ram mobile run faster thi happens buy even unable prepare resume hour struggle finally give prepared resume net cafe highly disappointed amazon,,1.0
5,customer_review-RRW9GQCUD9VPR,Deepak Kumar Singh,Satisfied with the product,product amazing price range machine heavy uses youre looking laptop minimal uses sleek elegant look device got 21999 inr suffices personal needs lightweight sleek easy carry windows 10 preinstalled works like charm genuine windows auto upgrading feature sound quality good although dolby sound feature works headphones overheating problem far thing unhappy warranty received product 303 days warranty left amazon customer service helpful case told contact manufacturer warranty related dispute overall machine works fine ao decided live warranty didnt wantef go hassle lenovo two month warranty investment worthwhile,2018-10-23,5.0
6,customer_review-R2DY5B6B23N1U1,S. Bhagwat,no warranty card,product good warranty card missing,,4.0
7,customer_review-R3EABFSXYNQYOX,Amrutha,A pleasant surprise,sleek design fast functioning thought would comes preloaded microsoft office plus want computer basic needs like browsing documents emails watching occasional video ideal quite good product price,2019-07-09,4.0
8,customer_review-R91VMU5QVKQ5G,Nikhil Sinha,Good laptop with very low battery backup,laptop good u basic activities without lag handle multiple websites running simultaneously light weight battery backup 225 hours normal usage low price range also fast charging mentioned description takes almost 3 hours recharge completely dont need battery backup u may go product,2018-10-21,3.0
9,customer_review-RRCBHKYKC0LFT,Manoj M L,Worth money,good laptop working well doesnt dvd drive im satisfied laptop,2018-09-17,5.0
