,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-R1YZNRHD4QYZ8W,Nikhil Mavali,Best at this price.,want compact portable robust speaker thing dont consider anything powerful bass blow battery life enough go entire playlist design inspired military tough durable still wish olive green mids treble also good beats competitors miles range may look puny got lot offeras always amazon delivery time service good thank boat thank amazon keep good work,2018-10-30,5.0
1,customer_review-R3RVN0R1305KNC,Sachin Chaudhary,Broken from inside,working good part inside broken bass working tell return exchange new one 1 year manufacture warranty,2018-08-13,1.0
2,customer_review-R2E4VM3A0DT9S0,Shashank Saxena,Totally worth it.,us nothing dislike product yet bought hiking served purpose went 12 hours backup promised snow rain dirt bike ladakh sturdy little beast great loud sound clearly distinguishable bullet outright worthit price bracket,2018-08-04,5.0
3,customer_review-R33THEFB1TKITB,Abha Tiwari,Better than my JBL BT speaker. Please read...Updated review,browsing bt speakers therethis one came seriously rave reviews using jbl bluetooh speaker speaker quite sturdy bass definitely powerful somehow play odesza bass hear thats little drawback sound quality price great received product within one day color black orange good one design really sturdy dont think speaker ever break get damaged battery back great first time received thrilled didnt charge lasted good 7 hours one star less wondering ccant play odeza right go figure updated review december 10th 2018 okayo months moderate usage bt grown feeble like im talking reception one room another speaker stop catching signal automatically shuts leaving phone play basically keep phone close speaker times another characteristic made aware fact annoying beepbeep sound speaker low battery actively playing track also fact charge cannot continue play track atleast paired iphonex fully charge speaker pair able play go figure,2018-10-27,4.0
4,customer_review-R1MYVU8RM0XNIA,Pritam,Value for money... Would recommend this over other speakers,review 3 month use first need tell u guys speaker sounds better jbl go case better bass midswhich makes song music lively whereas jbl go little better clarity comes highs battery life astonishing charge speaker like 2 hrs full speaker works like charm 1 week 75 volume distortion full volume durability wise tested depth coz take good care electronics,2018-10-24,5.0
5,customer_review-RRR33TCJGSBMD,Phani Rama Chandra,"Worth the money, but can't be a primary sound device!",first got dussera sale 18 900 inr999 10 sbi cannot complain aspect price near rivals point jbl go portronics soundpot look 1 ip67 kidding water resistance speaker 1000 2 build quality adorable trust feel like something 90s gadgets 3 loud firing single side speaker obv expect dual firing speakers 4 battery life claims around 10 hrs almost felt never discharged completely 5 tripod mount mount screw using mount provision bottom annoying aspects 1 moment reach top sound levels using buttons unit hear blink sound interrupting playback 2 sound flashes frequent intervals close run battery even 20 3 base fades sound clips top volume level 4 buttons bit hard may adjust couple months usage 5 mic distance picking calls could better jbl charge 3 using since 6 months first ive listened unit right jbl c3 felt annoying couple hours one movie slowly got adapted speaker value money portable purposes like hiking trekking small get away purpose cant regular driver serves purpose well,2018-10-18,4.0
6,customer_review-RJPXBPAIVXJMW,Dinesh Reddy Nandipeta,Bad product.,2 screws doesnt fit bad product ive got mrng opened worst experience ive ordered replacement,2018-04-27,1.0
7,customer_review-R2YXHA85LSKAI4,bhattnnidhii,HANDY AND EFFECTIVE,hello guys perfect portable speaker everyday use bluetooth speaker nice battery life lasts long mobile battery use thing daily almost 3 hours dont charge unless week sound quality good use daily gym even used uttarayan year also easy use 4 buttons power volume volume one playpause used starting pausing music also handling calls comfortable pick disconnect call using overall must product connected alexa echo dot 2nd gen damn work perfectly sync,2019-02-26,5.0
8,customer_review-R3J6B0C29P77DG,Amazon Customer,Online shopping platform,bought speaker amazon 10th august stopped working 15 days worst experience amazon saying raise exceptional request return window closed 11 days,2018-08-27,1.0
9,customer_review-R1QA1WXTTAVUX8,Dipayan Pal,Easy to carry...A must buy bluetooth speaker,product quite exciting one regarding price itsconnectivity superbit connects every device automatically first time connectivity battery life also quite impressive sound quality also goodbut drawback bass clearif improve part tiny looking product actually give service giant monster speakers,2018-08-27,5.0
10,customer_review-R70EAC9S0JUPT,Yash,Not at all recommended,sound quality neutral high sound music start shaking give unexpected noisy sound using 45 days start giving different sound gone boat website said invoice wrong guys invoice comes amazon packet speaker aware,2018-10-25,1.0
11,customer_review-R2EAGT0MK1GCZQ,rohit k.,"Terrific product under a good price range,must buy it...better than Logitech x50 for me.",first hv purchased speaker 999 great indian festival sale soit suited budget range used found bass level outstanding literally cant except compared logitech x50it good bass nowwhen moved vocalsit producing decent output built quality superb initially observed runs around 89 hrs one chargeand battery percentage charge also shown ur phone stabilising connection sogo amazing product amazon kindly look ur packaging,2018-10-20,4.0
12,customer_review-R3AHPF19G8VSGR,Aniruddha,Gret buy worth price,honestly received speaker physically disappointed size turned amazed see superb clarity loudness bass sufficient listen songs without issue 2 bhk house got 999 totally worth,2018-05-22,5.0
13,customer_review-R3KLKKPCQJ2BK1,adarshIN,Trust My Review,reading many reviews brought receiving first point noticed one knows speakers sound looking best speakers product best quality sound yes fact speaker bass effect good music good watching movies watching movies bass continues problem point listen songs bass hits cant vocal,2019-01-27,3.0
14,customer_review-R18RWVWRE5OFPF,anil,Not even splash proof..,purchased august 3rd weekand workingbeing confident companys claimwaterproofplaced side poolwhen splashes sprinkledit stopped workingcant find service centre near update picked serviced boat delivered 20 days later,2018-10-04,1.0
15,customer_review-RX9I0ZECOZ1SZ,Govinda Dasa,Hearing Lord Krishna's Bhajans,using product past many months hearing lord krishnas bhajans product really amazing initially purchased sony 10w bluetooth speakers paying 3k change totally waste piece really dont know claiming 10w volume quality low returned sony speaker purchased boat speaker much surprised see audio loudness quality speaker front sonys wonderful hare krishna,2018-12-14,5.0
16,customer_review-R28ZO183SGJ9C6,Sudhakar S.,Loving it!,got 1k must say perfect range great sound good battery high durability must buy youre looking good economical bluetooth speaker,2018-09-10,5.0
17,customer_review-RMYHYIFKLPI47,Rajan Sakthivel,Good for this price,nothing wrong bluetooth lagging audio aux audio also quality thing audio original quality noice battery life perfect delivers said stood upto 11hrs 40 mins dropped twice knowledge without still performing good edit forgot mention delivery took delay delivery agent called number quarrelled complained delayed delivery didnt expect happen two three calls waste time,2018-10-20,3.0
18,customer_review-R2TJTIMKTQEITB,Nandini,Return not replace,quality bad wanted return options keep showing replace dont want replace want return want money amazon pay balance,2018-10-01,1.0
19,customer_review-R28HF6LI20D633,Avishek,Bluetooth stopped working properly after 4 months of use,initially product worked nicely 4 months working real face device came light bluetooth worse stopped working properlytrying contact customercare also worstdont buy cheap product,2018-09-23,1.0
20,customer_review-R64HB7Q3WF3PN,Amazon Customer,Choose to return,confusion product 1 might feel side speaker sound sound comes one side though side looks like speaker sound quality 1 much bass even switching sound seems like boom 2 suitable classical songs unnecessary bass suppresses voice 3 suitable call extra bass voice seems echoing mic quality 1 side phone cant hear properly 23 feet away speaker bluetooth 1 range pretty bad within 10 feet sound streaming breaks battery life couldnt check returned purchased jbl go next day happy jbl,2019-02-05,1.0
21,customer_review-R3QQ0OXFS70FQC,Amazon Customer,Pocket size bomb,dozen small bluetooth speakers many china also anker cube jbl go boat stone 200 absolutely bomb compared jbl go 30 bulkier sound 60 louder base 50 better jbl go rugged fact dropped opening package fact ordered zoook rocker pocket dynamo like bass returned ordered boat stone 200 thanks amazon return accepted next day boat stone 200 delivered got rs 1032 listening last days amazing looking small bluetooth speaker go bluetooth connectivity fine battery life seems good product much value money slightly bigger speakers best oontz angle 3 ultra 14 watts put good bass comparable bose mini may better 7 inches 3 inches 3 inches attached tv also oontz angle 3 10 watts guys go boat stone 200 get stoned happy listening,2019-01-03,5.0
22,customer_review-R2A2OBVTGYEY8Y,sudarsan subramanian,Worth every penny..,planning buy jbl go tight budget came see festival sale offer took risky decision time boat stone 200 new got thing hand really got amazed compared jbl go one frnd one bass awesomeand also boat loudness better battery backup pros good sound quality superb bass good battery backup water dust resistant dedicated mic calling purpose bolt mounting option rubber strap extremly useful u outdoors cons depth sounds little less felt played jbl go n boat stone alternatively nb 999 u cant demand much depth,2018-11-05,5.0
23,customer_review-R1GDYOVQX9STW4,Adaa,A Good Deal at a Reasonable Price,cant tell battery life durability since ive bought today update review weeks tell two things speakers supercute apt home bought black colored variant clear picture size handy portable sound quality good edited today 4th november week bought working perfectly solving purpose great battery life havent charge even till using moderately edited 5th february 2019 dont think qualms quality still working fine,2018-10-27,4.0
