,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-R1RVS9JKJEGNS6,Anand,Canon 1500D- An upgrade for Point & Shoot Camera,ok dslr giant canon launched 1 entry level dslr actually bought camera friend camera worth 31k lets see pros 1 easy use 2 decent battery backup 3 live mode operation lagging cons 1 focusing dslr making much noise kind annoying u lose interest taking photos 2 shortcut assigned button change f stop aperture manufacturer keeping dedicated button changing iso thing importance aperture 3 cant change focusing point pressing round dial system u press setup open 4 output image quality actually mind blowing 5 white balance use u want take risk 6 main issue u use camera flash snap pic focusing flicker like anything annoy irritate subject 7 noise noise noise whatever low iso use noise b went service center ask saying use prime lens get good output nikon user nikon d3400 compared cameras taking images settings manual mode output nikon better canon 1500d one word want push photography next level using point shoot mobile camera dslr learn whole dslr setting go mindset change camera 1 2 years canon accessories comparatively less costly nikon wont create hole ur pocket biased towards nikon wrote wat felt worth money,2018-11-19,2.0
1,customer_review-R3ILFTRUJW24FT,Sivanandham k,The best dslr for beginners,good quality photos getting 24px really good start beginners easy handle wifi advantages price little bit high,2019-01-04,5.0
2,customer_review-R25GDPN1018JVZ,Mandar Phatak,My first canon ....,great camera perfect product young budding photographer useful inhouse nature functions spare time photography take high quality pics videos portrait landscape wildlife nature pics etc,2018-08-01,5.0
3,customer_review-R1TXMKYTFHCP7K,Dipsruti,"Good camera for beginners, must try it!",good camera beginners,2019-01-07,5.0
4,customer_review-R3HP9NFGKYUY3D,vignesh,Best basic level dslr mainly for wireless remote controlling worth for group pics,really impressed amazon surprise delivering within 2 nd day ordered really packing excellent quality material awesome love control camera mobile wifi easy connect best one taking self photos group pics also quality canon speaks everything dont go oscillation beginners blindly got,2019-01-23,5.0
5,customer_review-R2JHMGHDD2JBAH,Saheli Biswas,Adopter Missing,received product dslr cannon 1500d 15 october 2018 adopter given along dslr common accessories must deliver soon possibleotheewise gave complain,2018-10-26,2.0
6,customer_review-R1JWKVM8GJFPEC,Laxmi P,Zero after sales service,buy product canon local service center help even providing product demo logged complain canon india site bothered reply amazon call raised hand saying proof non service local service center dslr producing blur images canon providing proper service stay away,2018-11-03,1.0
7,customer_review-R2LUUUUVBT0Z8Y,Sachin Srivastava,Request for replacement.,request replacement camera main body lot blackspotblackness automatically appears view finder mirror 15 days requested please replace camera soon possible awaiting early reply regards,2018-11-17,1.0
8,customer_review-RPNC5I4EVXR20,PABAN KUMAR SINHA,"What can I say...brothers it's ""canon""!",really fully content product reached within two days everything content doubt good condition may somewhat difficult beginners take long learn choosing canon nikon suggest canon real colour capturing fine focus lenses get slightly features nikon canon price doesnt mean surely better canon look contrast canon nikon internet think suggest canon,2018-10-22,5.0
9,customer_review-RSMBMX9ET630Z,Adarsh,Just buy if ur a beginner and ur first DSLR,auto focus perfect minimum aperture 45 dont expect much portrait focusing manually play lense1855 mm chance getting missing ur focus even though ur made correctly easy operate compared nikkon models fast moving subjects cannot captured expected due poor auto focus performance take 3 6 seconds focus internal lighting conditions fail focus several times dim lights plastic quality poor got rs18599 value money product dont go model ur willing pay 23k better go nikkon 5300,2019-03-09,3.0
