,customer_id,customer_name,review_head,review_body,review_date,ratings
0,customer_review-RM19XNUM2T75I,Ranpreet S Marwah,Very poor camera performance,bought phone first sale looks gud gives u feel hand comfortable grip gud performance games contrary ther statement best camera phone one worst rear camera images r blurr hazzy u zoom r grainy color reproduction poor portrait mode nothing works properly cant differentiate object background low light degraded performance persists talking front camera images look gud u zoom images output always grainy even day light night images intermittent u may c object lights n background appears differently time r gud times may b focus hazzy overall images r always grainy,2018-12-09,2.0
1,customer_review-RA4UA4NDXXL51,Souvik,Very good phone.,good phone like display lot big enough enjoy videos,2019-01-13,5.0
2,customer_review-R39UHZU6GSGR9D,Darshan Sharma,Best smartphone in the market for this price,would say wow awesome mobile pros camera front camera awesome realme gives premium front camera mid range smartphone blurs background gives better portrait mode rear camera front camera gives bright clear picture even low light without requiring front flash battery backup decent battery backup im using mobile week didnt find battery disappointing normal usage lasts 15 days easily heavy usage lasts 1 day performance normal performance disappoint yes average performance fast till never gave problem terms performance looks major reason people would prefer buying smartphone believe u1 premium built quality attractive shining bright colours one say mid range smartphone looks unlocking best thing loved u1 face unlock best also works low light used oneplus 5t face unlock smartphones everything outstanding price believe youll get different smartphone price compare vivo giving 21k getting features 12k looks camera batter life features looking performance please purchase oneplus best performance market cons dont wish mention personally want guys know doesnt fast charging cons overall best smartphone price,2018-12-08,5.0
3,customer_review-R3JMU1NE72IGTQ,Shiva reddy,Read before u buy.....and give me one like..,using last 1week awesome futures superb look tooo better redmi mble market pros water drop display looks rich amazing display quality battery charg fast2hr full charg drains slowly even playing pubg continually frant back cemara best proice speaker decent louder much required best futures colour osetc cons cant find till cons bcz roking,2018-12-09,5.0
4,customer_review-R1JLE2GFX4WBAU,Amazon Customer,Value for money. Great phone at this price.,phone nothing less realme 2 pro also improved version realme 2 pro color os little bigger display realme 2 pro battery issue faced realme 2 pro fixed u1 doesnt drain quickly charges phone average good time selfie camera awesome primary camera slightly better realme pro 2 phones performance equally realme 2 pro cant really say processor sd 660 p70 winner design built quality nothing metallic using free case ive received along facing little data connectivity issue cant say problem phone could network issue didnt receive earphone box phone companies stopped sending earphones phone guess phones come inbox earphone audio quality good enjoyed loudness without earphone better louder phone display bright could slightly bright like redmi huaweis phones video quality amazing youll love watching movies fhd dewdrop notch perfect make viewing experience fantastic improvements color os finally close notification simply sliding towards right side finger apps icons little smaller comparison realme phones 1 days since got hands phone many things see notice phone leave next review jan 2019,2018-12-09,4.0
5,customer_review-R2BN837MXBXZ4K,Amit Roy,Awesome Device,1 battery awesome 2 rear camera low light performance average front camera pretty cool 3 played pubg almost 2 half hour battery drain 92 60 good backup gaming faced minor frame drops playing high graphics settings consume 10 battery 30 minutes 4 display pretty awesome sound quality superb device 18 gb ram available 4 gb 48 gb storage available 64 gb finger print face unlock super first nice product go,2018-12-09,5.0
6,customer_review-R36Y6XNJ5ULQKK,Satya,Camera is not good,camera expected like 13 mp remaimimg verry good,2018-12-08,3.0
7,customer_review-RTV72SARJP191,Rahul Joshi,Real me U1,good phone fast delivery amazon pros 1 camera quality selfie back awesome 2 battery back good 3good buid quality 4 finger print face unlock works smooth 5 network connectivity internet speed better phone like samsung mi cons 1 fast charger take almost 2 hour charge 100 percent 2 ear phone 3 fast charger 4 notification led,2018-12-08,4.0
8,customer_review-RP35WOWT3EGYB,Siddhant,Best Phone in this Budget,writing review using phone 15 days price 11999 think best value money got 3gb version primarily watch youtube play pubg games using secondary phone helio p70 chipset super fast effective face lag day day usage playing games tear drop display looks nice attracts lot attention negative thing could point phone portronics earphones working phone use another companys earphone device dont know weather problem device devices yes one thing realme brand name many people know brand kind get awkward pulling blue shiny device front everyone conclusion would say u definitely buy phone ur budget rs12000,2019-01-13,5.0
9,customer_review-R1AAQORCTH0V2V,shabnam,The best mobile in this Price range,better mi honor best decision ever made performance fabulous pubg work daam good,2018-12-08,5.0
